date,open,high,low,close
2023-11-20,4030.11,4083.03,3999.51,4077.58008
2023-11-21,4137.24,4157.51,4019.44,4037.07007
2023-11-22,4034.47,4071.31,4006.62,4029.82007
2023-11-23,4038.24,4122.38,4021.16,4117.12012
2023-11-24,4085.35,4085.35,4018.41,4024.83008
2023-11-27,4063.69,4063.69,3972.03,4031.65991
2023-11-28,4035.51,4045.47,3978.14,4000.41992
2023-11-29,4004.96,4004.96,3884.03,3910.23999
2023-11-30,3904.16,3914.62,3850.3,3899.63989
2023-12-01,3885.26,3886.03,3818.94,3830.91992
2023-12-04,3842.68,3842.68,3745.6,3759.71997
2023-12-05,3744.05,3744.05,3647.42,3682.66992
2023-12-06,3691.07,3777.56,3668.18,3747.58008
2023-12-07,3719.76,3732.69,3671.15,3720.20996
2023-12-08,3720.06,3751.81,3674.49,3705.92993
2023-12-11,3657.29,3690.17,3603.52,3666.51001
2023-12-12,3686.25,3746.68,3666.16,3730.25
2023-12-13,3703.49,3711.11,3658.31,3686.20996
2023-12-14,3733.04,3771.4,3673.4,3698.57007
2023-12-15,3750.26,3841.38,3749.11,3780.68994
2023-12-18,3748.42,3763.03,3711.69,3730.65991
2023-12-19,3712.22,3730.88,3674.77,3707.76001
2023-12-20,3758.24,3768.85,3713.04,3726.5
2023-12-21,3679.13,3722.15,3662.72,3710.21997
2023-12-22,3745.31,3773.15,3527.45,3548.05005
2023-12-27,3641.18,3651.68,3597.56,3639.76001
2023-12-28,3647.17,3800.25,3640.94,3763.8999
2023-12-29,3778.02,3792.22,3725.3,3764.29004
2024-01-02,3803.44,3808.23,3694.21,3714.77002
2024-01-03,3657.96,3661.04,3623.03,3646.38989
2024-01-04,3665.15,3666.42,3616.47,3654.93994
2024-01-05,3627.15,3662.2,3572.28,3592.33008
2024-01-08,3589.35,3589.35,3467.22,3484.75
2024-01-09,3496.62,3539.58,3451.77,3454.5
2024-01-10,3444.34,3476.86,3407.08,3428.19995
2024-01-11,3434.42,3540.57,3428.99,3503.02002
2024-01-12,3476.86,3530.24,3454.61,3470.63989
2024-01-15,3459.51,3459.51,3380.59,3404.0
2024-01-16,3369.6,3413.37,3310.17,3325.92993
2024-01-17,3294.31,3294.31,3130.22,3160.0
2024-01-18,3167.4,3201.15,3123.27,3176.08008
2024-01-19,3171.01,3209.88,3101.61,3129.91992
2024-01-22,3144.87,3156.19,2994.07,3035.46997
2024-01-23,3062.22,3192.83,3047.04,3147.81006
2024-01-24,3235.1,3303.72,3150.1,3281.15991
2024-01-25,3282.02,3324.36,3220.02,3310.68994
2024-01-26,3284.66,3284.66,3175.16,3186.48999
2024-01-29,3212.25,3256.08,3179.87,3203.59009
2024-01-30,3150.24,3160.3,3086.48,3098.87012
2024-01-31,3090.45,3106.5,2984.9,3005.80005
2024-02-01,3029.81,3128.4,3011.06,3065.94995
2024-02-02,3137.01,3165.8,3015.98,3043.8999
2024-02-05,2990.29,3095.43,2987.68,3038.84009
2024-02-06,3050.53,3253.99,3050.53,3243.81006
2024-02-07,3269.13,3320.86,3172.02,3190.67993
2024-02-08,3179.11,3223.17,3148.38,3168.55005
2024-02-09,3125.37,3130.47,3072.76,3127.21997
2024-02-14,3074.87,3205.66,3052.62,3197.87012
2024-02-15,3184.07,3239.7,3156.14,3223.1001
2024-02-16,3231.28,3357.5,3205.51,3342.72998
2024-02-19,3320.13,3320.13,3236.95,3253.09009
2024-02-20,3275.64,3283.2,3201.99,3264.3999
2024-02-21,3240.26,3421.13,3221.56,3351.21997
2024-02-22,3346.69,3410.02,3315.68,3410.02002
2024-02-23,3386.22,3444.28,3363.06,3399.84009
2024-02-26,3381.35,3425.81,3374.36,3393.29004
2024-02-27,3428.89,3510.57,3366.26,3503.16992
2024-02-28,3527.83,3547.16,3420.99,3426.61011
2024-02-29,3390.88,3468.73,3390.88,3431.30005
2024-03-01,3396.36,3496.17,3387.27,3488.12988
2024-03-04,3491.32,3503.62,3433.14,3474.77002
2024-03-05,3381.88,3401.93,3317.12,3323.88989
2024-03-06,3320.58,3454.29,3320.58,3412.57007
2024-03-07,3428.32,3449.74,3323.52,3359.34009
2024-03-08,3360.96,3427.77,3360.96,3385.58008
2024-03-11,3407.11,3485.81,3407.11,3482.29004
2024-03-12,3525.98,3657.4,3501.75,3643.90991
2024-03-13,3650.75,3704.06,3640.33,3656.30005
2024-03-14,3668.56,3692.29,3574.48,3603.83008
2024-03-15,3534.14,3550.19,3487.71,3549.84009
2024-03-18,3535.49,3609.8,3522.92,3594.21997
2024-03-19,3554.15,3571.23,3514.3,3528.46997
2024-03-20,3538.65,3569.97,3493.75,3551.41992
2024-03-21,3609.64,3647.01,3572.37,3582.8999
2024-03-22,3527.3,3531.71,3424.0,3455.87988
2024-03-25,3469.3,3486.44,3421.8,3437.19995
2024-03-26,3468.62,3499.15,3428.88,3471.48999
2024-03-27,3437.61,3443.88,3380.95,3393.42993
2024-03-28,3403.95,3543.21,3403.95,3477.55005
2024-04-02,3558.92,3577.39,3525.09,3543.12012
2024-04-03,3543.75,3543.75,3450.01,3460.87012
2024-04-05,3464.55,3476.47,3381.03,3450.88989
2024-04-08,3427.68,3492.47,3413.12,3444.61011
2024-04-09,3461.42,3510.58,3454.19,3478.23999
2024-04-10,3514.39,3587.29,3511.17,3552.01001
2024-04-11,3480.3,3553.46,3480.3,3538.38989
2024-04-12,3523.71,3549.31,3472.43,3474.46997
2024-04-15,3408.05,3452.6,3392.27,3442.48999
2024-04-16,3377.33,3399.06,3318.94,3337.8501
2024-04-17,3340.71,3374.51,3306.29,3340.21997
2024-04-18,3333.75,3391.45,3301.86,3356.82007
2024-04-19,3308.77,3308.77,3233.76,3278.06006
2024-04-22,3318.19,3374.11,3292.95,3336.3501
2024-04-23,3394.36,3456.89,3376.36,3449.1001
2024-04-24,3495.13,3577.58,3474.89,3573.59009
2024-04-25,3556.41,3616.17,3526.88,3554.30005
2024-04-26,3568.44,3738.18,3568.44,3718.27002
2024-04-29,3728.66,3805.88,3706.18,3713.32007
2024-04-30,3744.19,3760.98,3681.91,3700.66992
